disasterNumber,disasterType,incidentType,title,hash
4,DR,Tornado,TORNADO,f83270abb78efde2b53105486880f62c
29,DR,Hurricane,HURRICANE,171233dd451915da1229142202f85689
54,DR,Tornado,TORNADOES,ba1c7349e52f285b926d48da11718465
79,DR,Tornado,TORNADO,8b4d364873da37bed95d558bbbc13123
2,DR,Tornado,TORNADO & HEAVY RAINFALL,15b902cd3d72b189d8298e383fa97433
28,DR,Hurricane,HURRICANE,28de4f870885c9f53eaf9aecd464c52a
53,DR,Tornado,TORNADO,c712219d34aa8a4919e4ba3a4885f831
78,DR,Flood,FLOODS,79193408e0ce88ed915981e6194e598c
103,DR,Severe Storm(s),"HEAVY RAINS, HAIL, FLOODS & TORNADOES",f06c91035a7e350dd9419eade7fbd1ef
47,DR,Flood,FLOOD,1a11a45803caa132e54791f261531bef
72,DR,Hurricane,"HURRICANE, RAIN, WIND, HAIL & FLOODS",0d19203f3f6749a757b019d19dac8803
97,DR,Other,SEVERE WEATHER CONDITIONS,97ad2795ffb6d02eb8589eb2ad8fc741
66,DR,Flood,FLOOD,2ac89c22eb2ed6b8a19e23e48e960abe
91,DR,Flood,FLOOD,78224dcde8a6003a3dfd2fa78e8c20ef
60,DR,Flood,STORM & FLOOD,d5e2a981656ac11c93f175faee6099cb
85,DR,Tornado,"TORNADOES, RAIN, HAIL & FLOODS",9e4116466b8a289ed40521444297d77a
8,DR,Flood,FLOOD,b787473b08f8bf9d630e98991d6156f6
34,DR,Tornado,TORNADO,fe57bfbdc971781a89fc9130c56eb5bc
59,DR,Flood,FLOOD,7caa7b9c7450780acd42bcdfbeb7af90
84,DR,Flood,FLOODS,2f0698475563d6438638cb260a0cb1d5
7,DR,Tornado,TORNADO,5272e4b5489ba5cf458211588940bc14
33,DR,Flood,FLOOD,ab1be380acb126d995c19734a74d91dd
58,DR,Severe Storm(s),SEVERE STORM,db170ce73f20b47e3834e60461088346
83,DR,Flood,HEAVY RAINSTORMS & FLOODS,f1d0484adfa4ff69fb30d62622de9d70
110,DR,Flood,FLOODS,4ce34b370890a2b38373731c0585a608
106,DR,Hurricane,HURRICANE DONNA,1f4fd2ebbfee9730a180f34f1d96c252
104,DR,Severe Storm(s),"HEAVY RAINS, HAIL, FLOODS & TORNADOES",3e2f50ac4afd32afa2fcc089d198ec91
108,DR,Flood,FLOODS,24774e171b796b445dc9a732aff0358b
115,DR,Flood,FLOODS & TORNADOES,e23882a4018e656ba9c81b990c8ad899
140,DR,Typhoon,TYPHOON KAREN,8d4a6d770b268cebd84a13356b8f8f84
165,DR,Flood,SEVERE STORMS & FLOODING,78b47a3cb2991ac74970a9c79f7c75a2
183,DR,Flood,HEAVY RAINS & FLOODING,fd99a4e0711eb68e5c8b51c2187d13f5
113,DR,Flood,FLOODS,faeb3569c639b3d3532fad1db1519485
119,DR,Fire,FIRE (LOS ANGELES COUNTY),9f83228a0ed791612e9f759d423a2a09
120,DR,Flood,FLOODS,9fc0616145127700168256e649681a41
144,DR,Flood,FLOODS,2cea256ffe1debb2a671e807c7afdeac
145,DR,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING",de924aeb3f02c17255e323d47766f7e2
169,DR,Other,SEISMIC SEA WAVE,e5f98ff855ace19abd177ee1c2ecdfc3
170,DR,Drought,EXTREME DROUGHT CONDITIONS,bea56301ac6b6cf2913ad04292bee0c2
118,DR,Hurricane,HURRICANE CARLA,243f7afacfdc98135dbe3172e3d2462f
183,DR,Flood,HEAVY RAINS & FLOODING,ebc49a5641ce88d41cea2bf00dd643b5
125,DR,Flood,"SEVERE STORM, HIGH TIDES & FLOODING",7857993578dd96e5fe0daa659650a390
124,DR,Flood,"SEVERE STORM, HIGH TIDES & FLOODING",9adfeafd10c066fbaa5acc8444fd6c26
