disasterNumber,state,declaredCountyArea,placeCode
392,OK,Latimer (County),99077.0
388,AL,Jackson (County),99071.0
392,OK,Garvin (County),99049.0
388,AL,Bibb (County),99007.0
392,OK,Coal (County),99029.0
387,FL,Gilchrist (County),99041.0
389,AR,Jackson (County),99067.0
392,OK,McIntosh (County),99091.0
392,OK,Pontotoc (County),99123.0
392,OK,Washington (County),99147.0
393,TX,Red River (County),99387.0
392,OK,Tulsa (County),99143.0
393,TX,Upshur (County),99459.0
394,NC,Haywood (County),99087.0
394,NC,Iredell (County),99097.0
394,NC,Macon (County),99113.0
394,NC,Buncombe (County),99021.0
394,NC,Clay (County),99043.0
393,TX,Orange (County),99361.0
392,OK,Washita (County),99149.0
393,TX,Jefferson (County),99245.0
394,NC,Watauga (County),99189.0
392,OK,Tillman (County),99141.0
395,TN,Coffee (County),99031.0
392,OK,Sequoyah (County),99135.0
394,NC,McDowell (County),99111.0
392,OK,Stephens (County),99137.0
395,TN,Roane (County),99145.0
392,OK,Pittsburg (County),99121.0
395,TN,Bledsoe (County),99007.0
396,CO,La Plata (County),99067.0
398,TX,Harris (County),99201.0
396,CO,Rio Grande (County),99105.0
395,TN,Van Buren (County),99175.0
398,TX,Newton (County),99351.0
397,VT,Grand Isle (County),99013.0
396,CO,Conejos (County),99021.0
399,NH,Grafton (County),99009.0
397,VT,Washington (County),99023.0
397,VT,Essex (County),99009.0
396,CO,Alamosa (County),99003.0
399,NH,Cheshire (County),99005.0
397,VT,Orleans (County),99019.0
396,CO,Gunnison (County),99051.0
399,NH,"Rockingham (County)(in (P)MSA 4160,4760,6450)",99015.0
398,TX,Galveston (County),99167.0
396,CO,Montrose (County),99085.0
394,NC,Ashe (County),99009.0
398,TX,Matagorda (County),99321.0
396,CO,Delta (County),99029.0
394,NC,Jackson (County),99099.0
397,VT,Windsor (County),99027.0
396,CO,Mineral (County),99079.0
395,TN,Morgan (County),99129.0
398,TX,Jasper (County),99241.0
397,VT,Caledonia (County),99005.0
399,NH,Belknap (County),99001.0
396,CO,Costilla (County),99023.0
396,CO,Hinsdale (County),99053.0
397,VT,Windham (County),99025.0
398,TX,Hardin (County),99199.0
395,TN,Grundy (County),99061.0
396,CO,Dolores (County),99033.0
397,VT,Bennington (County),99003.0
398,TX,Brazoria (County),99039.0
398,TX,Tyler (County),99457.0
395,TN,Cumberland (County),99035.0
396,CO,San Miguel (County),99113.0
397,VT,Addison (County),99001.0
398,TX,Sabine (County),99403.0
398,TX,San Jacinto (County),99407.0
396,CO,Archuleta (County),99007.0
395,TN,Campbell (County),99013.0
397,VT,Rutland (County),99021.0
396,CO,San Juan (County),99111.0
399,NH,Strafford (County),99017.0
398,TX,Polk (County),99373.0
395,TN,White (County),99185.0
397,VT,Orange (County),99017.0
395,TN,Warren (County),99177.0
399,NH,Merrimack (County),99013.0
397,VT,Lamoille (County),99015.0
399,NH,"Hillsborough (County)(in (P)MSA 4560,4760,5350)",99011.0
396,CO,Ouray (County),99091.0
398,TX,Montgomery (County),99339.0
396,CO,Montezuma (County),99083.0
398,TX,Liberty (County),99291.0
395,TN,Scott (County),99151.0
397,VT,Franklin (County),99011.0
399,NH,Coos (County),99007.0
395,TN,Overton (County),99133.0
397,VT,Chittenden (County),99007.0
399,NH,Carroll (County),99003.0
400,PA,Wayne (County),99127.0
400,PA,Berks (County),99011.0
400,PA,Columbia (County),99037.0
399,NH,Sullivan (County),99019.0
400,PA,Northampton (County),99095.0
401,NY,Sullivan (County),99105.0
402,NJ,Somerset (County),99035.0
400,PA,Delaware (County),99045.0
401,NY,Rensselaer (County),99083.0
400,PA,Lancaster (County),99071.0
401,NY,Columbia (County),99021.0
403,KS,Cowley (County),99035.0
403,KS,Chase (County),99017.0
403,KS,Osage (County),99139.0
403,KS,Marshall (County),99117.0
401,NY,Ulster (County),99111.0
403,KS,Ellsworth (County),99053.0
403,KS,Harvey (County),99079.0
403,KS,Atchison (County),99005.0
403,KS,Leavenworth (County),99103.0
400,PA,Chester (County),99029.0
400,PA,Montgomery (County),99091.0
402,NJ,Middlesex (County),99023.0
400,PA,Bucks (County),99017.0
402,NJ,Union (County),99039.0
401,NY,Delaware (County),99025.0
403,KS,Kiowa (County),99097.0
403,KS,Comanche (County),99033.0
403,KS,Wabaunsee (County),99197.0
403,KS,Nemaha (County),99131.0
403,KS,Douglas (County),99045.0
406,NE,Cass (County),99025.0
403,KS,Pottawatomie (County),99149.0
403,KS,Kingman (County),99095.0
403,KS,Cloud (County),99029.0
403,KS,Barton (County),99009.0
403,KS,Barber (County),99007.0
402,NJ,Essex (County),99013.0
403,KS,Harper (County),99077.0
403,KS,Edwards (County),99047.0
403,KS,Saline (County),99169.0
403,KS,Pratt (County),99151.0
403,KS,Coffey (County),99031.0
403,KS,Brown (County),99013.0
403,KS,Morris (County),99127.0
403,KS,Lyon (County),99111.0
405,MA,Suffolk (County),99025.0
404,OK,Garfield (County),99047.0
401,NY,Dutchess (County),99027.0
400,PA,Monroe (County),99089.0
403,KS,Butler (County),99015.0
403,KS,Marion (County),99115.0
404,OK,Grant (County),99053.0
403,KS,Greenwood (County),99073.0
403,KS,Riley (County),99161.0
403,KS,Sumner (County),99191.0
403,KS,Miami (County),99121.0
403,KS,Linn (County),99107.0
403,KS,Wyandotte (County),99209.0
403,KS,Jefferson (County),99087.0
403,KS,Jackson (County),99085.0
403,KS,Stafford (County),99185.0
403,KS,Shawnee (County),99177.0
403,KS,Franklin (County),99059.0
403,KS,Washington (County),99201.0
403,KS,Republic (County),99157.0
404,OK,Noble (County),99103.0
403,KS,Sedgwick (County),99173.0
403,KS,Lincoln (County),99105.0
403,KS,Doniphan (County),99043.0
403,KS,Woodson (County),99207.0
403,KS,Pawnee (County),99145.0
404,OK,Kay (County),99071.0
403,KS,Clay (County),99027.0
403,KS,McPherson (County),99113.0
404,OK,Kingfisher (County),99073.0
403,KS,Geary (County),99061.0
403,KS,Rice (County),99159.0
403,KS,Dickinson (County),99041.0
403,KS,Ottawa (County),99143.0
403,KS,Reno (County),99155.0
406,NE,Webster (County),99181.0
406,NE,Jefferson (County),99095.0
407,MO,Buchanan (County),99021.0
406,NE,Pawnee (County),99133.0
406,NE,Otoe (County),99131.0
407,MO,Caldwell (County),99025.0
406,NE,Johnson (County),99097.0
406,NE,Thayer (County),99169.0
407,MO,Adair (County),99001.0
406,NE,Nemaha (County),99127.0
406,NE,Lancaster (County),99109.0
406,NE,Richardson (County),99147.0
406,NE,Clay (County),99035.0
407,MO,Andrew (County),99003.0
407,MO,Carroll (County),99033.0
406,NE,Saline (County),99151.0
407,MO,Knox (County),99103.0
407,MO,Putnam (County),99171.0
409,OK,Latimer (County),99077.0
410,ME,Franklin (County),99007.0
412,CA,Humboldt (County),99023.0
406,NE,Nuckolls (County),99129.0
407,MO,Franklin (County),99071.0
409,OK,Cleveland (County),99027.0
411,NH,Belknap (County),99001.0
407,MO,Mercer (County),99129.0
407,MO,Clinton (County),99049.0
409,OK,Pittsburg (County),99121.0
407,MO,Shelby (County),99205.0
406,NE,Gage (County),99067.0
410,ME,Penobscot (County),99019.0
407,MO,Chariton (County),99041.0
407,MO,Atchison (County),99005.0
407,MO,Schuyler (County),99197.0
407,MO,Nodaway (County),99147.0
410,ME,Lincoln (County),99015.0
410,ME,Androscoggin (County),99001.0
407,MO,Harrison (County),99081.0
407,MO,Cooper (County),99053.0
409,OK,Haskell (County),99061.0
408,AK,Tanana (ANV/ANVSA),75165.0
411,NH,Cheshire (County),99005.0
410,ME,Sagadahoc (County),99023.0
407,MO,Lafayette (County),99107.0
407,MO,Gentry (County),99075.0
409,OK,Le Flore (County),99079.0
409,OK,Garvin (County),99049.0
412,CA,Mendocino (County),99045.0
411,NH,Carroll (County),99003.0
407,MO,Platte (County),99165.0
407,MO,Macon (County),99121.0
410,ME,Aroostook (County),99003.0
409,OK,Murray (County),99099.0
407,MO,Holt (County),99087.0
409,OK,Hughes (County),99063.0
411,NH,Grafton (County),99009.0
407,MO,Montgomery (County),99139.0
409,OK,Sequoyah (County),99135.0
407,MO,Daviess (County),99061.0
407,MO,Callaway (County),99027.0
409,OK,Adair (County),99001.0
407,MO,Ray (County),99177.0
410,ME,Somerset (County),99025.0
410,ME,Kennebec (County),99011.0
407,MO,Lewis (County),99111.0
407,MO,DeKalb (County),99063.0
409,OK,Love (County),99085.0
409,OK,Cherokee (County),99021.0
412,CA,Shasta (County),99089.0
410,ME,Waldo (County),99027.0
407,MO,Moniteau (County),99135.0
409,OK,Seminole (County),99133.0
406,NE,Saunders (County),99155.0
407,MO,Clay (County),99047.0
407,MO,Scotland (County),99199.0
407,MO,Livingston (County),99117.0
410,ME,Oxford (County),99017.0
409,OK,McClain (County),99087.0
412,CA,Siskiyou (County),99093.0
407,MO,Saline (County),99195.0
410,ME,Knox (County),99013.0
407,MO,Cole (County),99051.0
407,MO,Worth (County),99227.0
410,ME,Piscataquis (County),99021.0
407,MO,Howard (County),99089.0
409,OK,Kay (County),99071.0
412,CA,Glenn (County),99021.0
413,OR,Curry (County),99015.0
413,OR,Tillamook (County),99057.0
413,OR,Lincoln (County),99041.0
413,OR,Josephine (County),99033.0
414,WA,Asotin (County),99003.0
413,OR,Clackamas (County),99005.0
412,CA,Tehama (County),99103.0
413,OR,Gilliam (County),99021.0
413,OR,Coos (County),99011.0
412,CA,Trinity (County),99105.0
413,OR,Jackson (County),99029.0
413,OR,Benton (County),99003.0
413,OR,Douglas (County),99019.0
413,OR,Wallowa (County),99063.0
413,OR,Lane (County),99039.0
413,OR,Columbia (County),99009.0
414,WA,Benton (County),99005.0
413,OR,Hood River (County),99027.0
413,OR,Washington (County),99067.0
414,WA,Mason (County),99045.0
415,ID,Clearwater (County),99035.0
417,MT,Missoula (County),99063.0
419,OK,Ottawa (County),99115.0
420,KY,Hardin (County),99093.0
414,WA,Columbia (County),99013.0
417,MT,Deer Lodge (County),99023.0
420,KY,Clinton (County),99053.0
413,OR,Wasco (County),99065.0
413,OR,Marion (County),99047.0
416,WV,Kanawha (County),99039.0
414,WA,Yakima (County),99077.0
420,KY,Boone (County),99015.0
418,LA,Franklin (Parish),99041.0
420,KY,Lincoln (County),99137.0
415,ID,Kootenai (County),99055.0
414,WA,Ferry (County),99019.0
419,OK,Rogers (County),99131.0
417,MT,Flathead (County),99029.0
413,OR,Polk (County),99053.0
420,KY,Cumberland (County),99057.0
415,ID,Latah (County),99057.0
414,WA,Kitsap (County),99035.0
419,OK,Tulsa (County),99143.0
417,MT,Glacier (County),99035.0
414,WA,Klickitat (County),99039.0
420,KY,Franklin (County),99073.0
417,MT,Lincoln (County),99053.0
415,ID,Bonner (County),99017.0
420,KY,Grayson (County),99085.0
415,ID,Washington (County),99087.0
419,OK,Kay (County),99071.0
420,KY,Anderson (County),99005.0
414,WA,Lewis (County),99041.0
417,MT,Mineral (County),99061.0
420,KY,Green (County),99087.0
415,ID,Adams (County),99003.0
418,LA,La Salle (Parish),99059.0
420,KY,Madison (County),99151.0
415,ID,Benewah (County),99009.0
416,WV,Lincoln (County),99043.0
418,LA,Ouachita (Parish),99073.0
420,KY,Boyle (County),99021.0
420,KY,McCreary (County),99147.0
413,OR,Yamhill (County),99071.0
416,WV,Logan (County),99045.0
416,WV,Mingo (County),99059.0
420,KY,Breckinridge (County),99027.0
414,WA,Thurston (County),99067.0
420,KY,Bullitt (County),99029.0
415,ID,Boundary (County),99021.0
418,LA,Catahoula (Parish),99025.0
419,OK,Osage (County),99113.0
420,KY,Jefferson (County),99111.0
416,WV,Wayne (County),99099.0
420,KY,Clark (County),99049.0
414,WA,Pend Oreille (County),99051.0
417,MT,Sanders (County),99089.0
420,KY,Harrison (County),99097.0
414,WA,Stevens (County),99065.0
418,LA,Caldwell (Parish),99021.0
420,KY,Henry (County),99103.0
415,ID,Shoshone (County),99079.0
419,OK,Washington (County),99147.0
414,WA,Whitman (County),99075.0
418,LA,Concordia (Parish),99029.0
420,KY,Laurel (County),99125.0
420,KY,Meade (County),99163.0
420,KY,Taylor (County),99217.0
420,KY,Nelson (County),99179.0
420,KY,Montgomery (County),99173.0
420,KY,Mercer (County),99167.0
420,KY,Scott (County),99209.0
420,KY,Rockcastle (County),99203.0
420,KY,Owen (County),99187.0
420,KY,Pulaski (County),99199.0
420,KY,Warren (County),99227.0
420,KY,Wayne (County),99231.0
421,OH,Adams (County),99001.0
420,KY,Spencer (County),99215.0
421,OH,Franklin (County),99049.0
421,OH,Madison (County),99097.0
422,AL,Cullman (County),99043.0
423,IN,Floyd (County),99043.0
421,OH,Delaware (County),99041.0
423,IN,Tippecanoe (County),99157.0
422,AL,Marion (County),99093.0
421,OH,Warren (County),99165.0
423,IN,Jennings (County),99079.0
423,IN,Clark (County),99019.0
423,IN,Rush (County),99139.0
422,AL,Jefferson (County),99073.0
422,AL,Winston (County),99133.0
423,IN,Noble (County),99113.0
423,IN,Harrison (County),99061.0
424,TN,Bedford (County),99003.0
422,AL,Cleburne (County),99029.0
421,OH,Putnam (County),99137.0
423,IN,Decatur (County),99031.0
423,IN,Benton (County),99007.0
423,IN,Steuben (County),99151.0
423,IN,Pulaski (County),99131.0
420,KY,Whitley (County),99235.0
420,KY,Simpson (County),99213.0
421,OH,Summit (County),99153.0
423,IN,Cass (County),99017.0
423,IN,Randolph (County),99135.0
421,OH,Butler (County),99017.0
422,AL,Cherokee (County),99019.0
422,AL,Limestone (County),99083.0
423,IN,Dearborn (County),99029.0
423,IN,Jackson (County),99071.0
423,IN,Shelby (County),99145.0
421,OH,Greene (County),99057.0
422,AL,Franklin (County),99059.0
423,IN,Grant (County),99053.0
423,IN,Wells (County),99179.0
421,OH,Fayette (County),99047.0
422,AL,Colbert (County),99033.0
422,AL,Tuscaloosa (County),99125.0
423,IN,Delaware (County),99035.0
423,IN,Switzerland (County),99155.0
423,IN,Lawrence (County),99093.0
422,AL,Fayette (County),99057.0
420,KY,Oldham (County),99185.0
423,IN,Fulton (County),99049.0
421,OH,Clark (County),99023.0
423,IN,Washington (County),99175.0
422,AL,Madison (County),99089.0
423,IN,Jefferson (County),99077.0
424,TN,Carter (County),99019.0
424,TN,Cannon (County),99015.0
422,AL,Pickens (County),99107.0
421,OH,Paulding (County),99125.0
423,IN,LaGrange (County),99087.0
422,AL,Jackson (County),99071.0
423,IN,Hancock (County),99059.0
423,IN,White (County),99181.0
422,AL,Lawrence (County),99079.0
423,IN,Huntington (County),99069.0
424,TN,Bradley (County),99011.0
421,OH,Hamilton (County),99061.0
422,AL,Blount (County),99009.0
422,AL,Walker (County),99127.0
423,IN,Crawford (County),99025.0
423,IN,Marshall (County),99099.0
423,IN,Scott (County),99143.0
421,OH,Pickaway (County),99129.0
422,AL,Lamar (County),99075.0
423,IN,Bartholomew (County),99005.0
423,IN,Henry (County),99065.0
423,IN,Perry (County),99123.0
422,AL,Etowah (County),99055.0
424,TN,Blount (County),99009.0
423,IN,Franklin (County),99047.0
423,IN,Warren (County),99171.0
423,IN,Adams (County),99001.0
423,IN,Ohio (County),99115.0
422,AL,Morgan (County),99103.0
423,IN,Kosciusko (County),99085.0
424,TN,Clay (County),99027.0
424,TN,Cumberland (County),99035.0
424,TN,Fentress (County),99049.0
424,TN,Hamblen (County),99063.0
424,TN,Hamilton (County),99065.0
424,TN,Dickson (County),99043.0
424,TN,Jackson (County),99087.0
424,TN,Hardin (County),99071.0
424,TN,Giles (County),99055.0
424,TN,DeKalb (County),99041.0
424,TN,Jefferson (County),99089.0
424,TN,Decatur (County),99039.0
424,TN,Coffee (County),99031.0
424,TN,Grundy (County),99061.0
424,TN,Henderson (County),99077.0
424,TN,Monroe (County),99123.0
424,TN,Macon (County),99111.0
424,TN,Rutherford (County),99149.0
425,GA,Gordon (County),99129.0
425,GA,Tift (County),99277.0
428,NC,Graham (County),99075.0
430,MS,Greene (County),99041.0
424,TN,Meigs (County),99121.0
424,TN,Warren (County),99177.0
425,GA,Mitchell (County),99205.0
426,WV,Greenbrier (County),99025.0
430,MS,Clarke (County),99023.0
430,MS,Jasper (County),99061.0
425,GA,Coffee (County),99069.0
425,GA,Murray (County),99213.0
427,IL,Vermilion (County),99183.0
430,MS,Copiah (County),99029.0
424,TN,Loudon (County),99105.0
424,TN,Putnam (County),99141.0
425,GA,Gilmer (County),99123.0
425,GA,Rabun (County),99241.0
428,NC,Gaston (County),99071.0
430,MS,George (County),99039.0
424,TN,White (County),99185.0
426,WV,Raleigh (County),99081.0
430,MS,Jefferson (County),99063.0
425,GA,Berrien (County),99019.0
427,IL,McLean (County),99113.0
430,MS,Lauderdale (County),99075.0
424,TN,Johnson (County),99091.0
424,TN,Franklin (County),99051.0
424,TN,Sullivan (County),99163.0
424,TN,Marshall (County),99117.0
425,GA,Worth (County),99321.0
425,GA,Haralson (County),99143.0
430,MS,Harrison (County),99047.0
429,MI,Hillsdale (County),99059.0
424,TN,Trousdale (County),99169.0
424,TN,McMinn (County),99107.0
426,WV,Fayette (County),99019.0
425,GA,Lumpkin (County),99187.0
430,MS,Jackson (County),99059.0
430,MS,Adams (County),99001.0
424,TN,Davidson (County),99037.0
424,TN,Marion (County),99115.0
424,TN,Knox (County),99093.0
424,TN,Wilson (County),99189.0
425,GA,Fannin (County),99111.0
427,IL,Champaign (County),99019.0
428,NC,Caldwell (County),99027.0
424,TN,Lincoln (County),99103.0
430,MS,Jones (County),99067.0
425,GA,Forsyth (County),99117.0
425,GA,Bartow (County),99015.0
428,NC,Cherokee (County),99039.0
427,IL,Macon (County),99115.0
430,MS,Kemper (County),99069.0
424,TN,Hancock (County),99067.0
424,TN,Pickett (County),99137.0
425,GA,Pickens (County),99227.0
430,MS,Forrest (County),99035.0
424,TN,Polk (County),99139.0
425,GA,Polk (County),99233.0
430,MS,Franklin (County),99037.0
424,TN,Scott (County),99151.0
424,TN,Overton (County),99133.0
425,GA,Whitfield (County),99313.0
425,GA,Paulding (County),99223.0
430,MS,Covington (County),99031.0
430,MS,Hancock (County),99045.0
425,GA,Dawson (County),99085.0
425,GA,Hall (County),99139.0
428,NC,Burke (County),99023.0
428,NC,Lincoln (County),99109.0
424,TN,Williamson (County),99187.0
426,WV,Wyoming (County),99109.0
430,MS,Jefferson Davis (County),99065.0
430,MS,Lawrence (County),99077.0
430,MS,Pike (County),99113.0
430,MS,Newton (County),99101.0
430,MS,Marion (County),99091.0
431,WI,Dodge (County),99027.0
431,WI,Sheboygan (County),99117.0
430,MS,Simpson (County),99127.0
433,HI,Honolulu (County),99003.0
430,MS,Perry (County),99111.0
430,MS,Leake (County),99079.0
430,MS,Smith (County),99129.0
430,MS,Lincoln (County),99085.0
432,CA,Mendocino (County),99045.0
430,MS,Pearl River (County),99109.0
430,MS,Wayne (County),99153.0
437,AR,Columbia (County),99027.0
434,ND,Nelson (County),99063.0
438,IL,Jersey (County),99083.0
438,IL,Bureau (County),99011.0
433,HI,Kauai (County),99007.0
430,MS,Neshoba (County),99099.0
434,ND,Walsh (County),99099.0
434,ND,Benson (County),99005.0
438,IL,DeKalb (County),99037.0
437,AR,Jefferson (County),99069.0
438,IL,Pike (County),99149.0
438,IL,Kane (County),99089.0
435,AR,Phillips (County),99107.0
438,IL,Fulton (County),99057.0
434,ND,Rolette (County),99079.0
438,IL,Coles (County),99029.0
431,WI,Fond du Lac (County),99039.0
430,MS,Rankin (County),99121.0
434,ND,Pierce (County),99069.0
434,ND,Foster (County),99031.0
438,IL,Carroll (County),99015.0
438,IL,Adams (County),99001.0
438,IL,McHenry (County),99111.0
438,IL,Livingston (County),99105.0
434,ND,Eddy (County),99027.0
437,AR,St. Francis (County),99123.0
438,IL,La Salle (County),99099.0
434,ND,Emmons (County),99029.0
436,OH,Ottawa (County),99123.0
438,IL,Hancock (County),99067.0
438,IL,Marshall (County),99123.0
437,AR,Garland (County),99051.0
438,IL,Jo Daviess (County),99085.0
434,ND,Bottineau (County),99009.0
437,AR,Johnson (County),99071.0
438,IL,Kendall (County),99093.0
434,ND,Renville (County),99075.0
438,IL,Clark (County),99023.0
438,IL,Monroe (County),99133.0
438,IL,Ogle (County),99141.0
437,AR,Union (County),99139.0
438,IL,Lee (County),99103.0
434,ND,Grand Forks (County),99035.0
438,IL,Alexander (County),99003.0
436,OH,Lucas (County),99095.0
438,IL,Logan (County),99107.0
438,IL,Grundy (County),99063.0
431,WI,Winnebago (County),99139.0
434,ND,Towner (County),99095.0
434,ND,Pembina (County),99067.0
438,IL,Calhoun (County),99013.0
438,IL,Mason (County),99125.0
434,ND,Ramsey (County),99071.0
438,IL,Cass (County),99017.0
438,IL,Mercer (County),99131.0
437,AR,Benton (County),99007.0
438,IL,Henry (County),99073.0
434,ND,Wells (County),99103.0
438,IL,Edgar (County),99045.0
438,IL,Cumberland (County),99035.0
438,IL,Peoria (County),99143.0
434,ND,Ward (County),99101.0
438,IL,DuPage (County),99043.0
434,ND,Cavalier (County),99019.0
437,AR,Madison (County),99087.0
438,IL,Knox (County),99095.0
436,OH,Sandusky (County),99143.0
438,IL,Henderson (County),99071.0
434,ND,McHenry (County),99049.0
438,IL,Brown (County),99009.0
438,IL,Macon (County),99115.0
439,MO,Adair (County),99001.0
438,IL,Woodford (County),99203.0
438,IL,Randolph (County),99157.0
439,MO,Buchanan (County),99021.0
438,IL,Tazewell (County),99179.0
438,IL,Stephenson (County),99177.0
439,MO,Clinton (County),99049.0
438,IL,Whiteside (County),99195.0
438,IL,Rock Island (County),99161.0
439,MO,Atchison (County),99005.0
438,IL,Will (County),99197.0
438,IL,Sangamon (County),99167.0
439,MO,Andrew (County),99003.0
439,MO,Carroll (County),99033.0
439,MO,Caldwell (County),99025.0
439,MO,Holt (County),99087.0
439,MO,Clark (County),99045.0
441,OK,Cherokee (County),99021.0
439,MO,Lafayette (County),99107.0
438,IL,Winnebago (County),99201.0
441,OK,Lincoln (County),99081.0
440,MN,Kittson (County),99069.0
439,MO,Newton (County),99145.0
439,MO,Barry (County),99009.0
441,OK,Logan (County),99083.0
440,MN,Marshall (County),99089.0
439,MO,Ralls (County),99173.0
441,OK,Okmulgee (County),99111.0
439,MO,Audrain (County),99007.0
440,MN,Norman (County),99107.0
439,MO,Clay (County),99047.0
441,OK,Adair (County),99001.0
438,IL,Schuyler (County),99169.0
439,MO,Ray (County),99177.0
441,OK,Osage (County),99113.0
440,MN,Clearwater (County),99029.0
439,MO,Jackson (County),99095.0
441,OK,Delaware (County),99041.0
443,IA,Clinton (County),99045.0
443,IA,Cedar (County),99031.0
442,KS,Lyon (County),99111.0
439,MO,Greene (County),99077.0
441,OK,Craig (County),99035.0
443,IA,Clarke (County),99039.0
440,MN,Becker (County),99005.0
441,OK,Payne (County),99119.0
443,IA,Iowa (County),99095.0
440,MN,Roseau (County),99135.0
443,IA,Carroll (County),99027.0
443,IA,Allamakee (County),99005.0
441,OK,Pottawatomie (County),99125.0
443,IA,Jasper (County),99099.0
440,MN,Pennington (County),99113.0
443,IA,Benton (County),99011.0
439,MO,Pike (County),99163.0
441,OK,Okfuskee (County),99107.0
443,IA,Dubuque (County),99061.0
440,MN,Clay (County),99027.0
441,OK,Pittsburg (County),99121.0
443,IA,Jackson (County),99097.0
443,IA,Guthrie (County),99077.0
443,IA,Crawford (County),99047.0
439,MO,Scotland (County),99199.0
441,OK,Ottawa (County),99115.0
443,IA,Harrison (County),99085.0
440,MN,Red Lake (County),99125.0
443,IA,Butler (County),99023.0
440,MN,Mahnomen (County),99087.0
441,OK,Wagoner (County),99145.0
439,MO,Platte (County),99165.0
441,OK,Rogers (County),99131.0
441,OK,Oklahoma (County),99109.0
443,IA,Johnson (County),99103.0
443,IA,Greene (County),99073.0
443,IA,Grundy (County),99075.0
440,MN,Koochiching (County),99071.0
441,OK,Seminole (County),99133.0
443,IA,Jones (County),99105.0
441,OK,Creek (County),99037.0
443,IA,Clayton (County),99043.0
443,IA,Delaware (County),99055.0
443,IA,Cass (County),99029.0
439,MO,Nodaway (County),99147.0
441,OK,Mayes (County),99097.0
443,IA,Des Moines (County),99057.0
440,MN,Lake of the Woods (County),99077.0
441,OK,Tulsa (County),99143.0
443,IA,Mitchell (County),99131.0
443,IA,Poweshiek (County),99157.0
443,IA,Marion (County),99125.0
444,AK,Bristol Bay (Borough),99060.0
443,IA,Scott (County),99163.0
443,IA,Van Buren (County),99177.0
446,MN,Houston (County),99055.0
443,IA,Mahaska (County),99123.0
443,IA,Tama (County),99171.0
443,IA,Louisa (County),99115.0
443,IA,Polk (County),99153.0
443,IA,Story (County),99169.0
443,IA,Warren (County),99181.0
443,IA,Monona (County),99133.0
443,IA,Ringgold (County),99159.0
443,IA,Madison (County),99121.0
443,IA,Marshall (County),99127.0
444,AK,Tanana (ANV/ANVSA),75165.0
443,IA,Linn (County),99113.0
443,IA,Keokuk (County),99107.0
446,MN,Dodge (County),99039.0
450,LA,Acadia (Parish),99001.0
454,TX,McLennan (County),99309.0
448,LA,Lafourche (Parish),99057.0
453,OK,Oklahoma (County),99109.0
455,PR,Cayey (Municipio),99035.0
446,MN,Winona (County),99169.0
453,OK,Canadian (County),99017.0
455,PR,Aibonito (Municipio),99009.0
448,LA,Terrebonne (Parish),99109.0
453,OK,Washington (County),99147.0
449,AS,Eastern (District),99010.0
454,TX,Cooke (County),99097.0
447,NY,Oneida (County),99065.0
453,OK,Dewey (County),99043.0
455,PR,Arroyo (Municipio),99015.0
448,LA,Iberia (Parish),99045.0
453,OK,Logan (County),99083.0
455,PR,Caguas (Municipio),99025.0
449,AS,Rose Island (Island) (County-equivalent),99030.0
454,TX,El Paso (County),99141.0
448,LA,St. Martin (Parish),99099.0
453,OK,Payne (County),99119.0
455,PR,Cidra (Municipio),99041.0
451,VI,St. John (Island) (County-equivalent),99020.0
454,TX,Williamson (County),99491.0
447,NY,Oswego (County),99075.0
453,OK,Lincoln (County),99081.0
455,PR,Barranquitas (Municipio),99019.0
448,LA,St. Mary (Parish),99101.0
453,OK,Tulsa (County),99143.0
455,PR,Coamo (Municipio),99043.0
449,AS,Swains Island (Island) (County-equivalent),99040.0
454,TX,Falls (County),99145.0
448,LA,Ward 9 (Police Jury Ward),93440.0
454,TX,Bell (County),99027.0
446,MN,Fillmore (County),99045.0
451,VI,St. Croix (Island) (County-equivalent),99010.0
454,TX,Parker (County),99367.0
447,NY,Onondaga (County),99067.0
453,OK,Grant (County),99053.0
455,PR,Barceloneta (Municipio),99017.0
445,OH,Warren (County),99165.0
449,AS,Western (District),99050.0
454,TX,Hopkins (County),99223.0
447,NY,Herkimer (County),99043.0
453,OK,Creek (County),99037.0
455,PR,Arecibo (Municipio),99013.0
448,LA,Plaquemines (Parish),99075.0
453,OK,Osage (County),99113.0
455,PR,Ceiba (Municipio),99037.0
448,LA,St. Landry (Parish),99097.0
453,OK,Pawnee (County),99117.0
455,PR,Ciales (Municipio),99039.0
449,AS,Manu'a (District),99020.0
454,TX,Denton (County),99121.0
446,MN,Olmsted (County),99109.0
451,VI,St. Thomas (Island) (County-equivalent),99030.0
455,PR,Adjuntas (Municipio),99001.0
446,MN,Wabasha (County),99157.0
452,AK,Tanana (ANV/ANVSA),75165.0
455,PR,Aguas Buenas (Municipio),99007.0
448,LA,Lafayette (Parish),99055.0
453,OK,Major (County),99093.0
455,PR,Canovanas (Municipio),99029.0
448,LA,Vermilion (Parish),99113.0
454,TX,Anderson (County),99001.0
455,PR,Las Piedras (Municipio),99085.0
455,PR,Comerio (Municipio),99045.0
455,PR,Florida (Municipio),99054.0
455,PR,Gurabo (Municipio),99063.0
455,PR,Naguabo (Municipio),99103.0
455,PR,Humacao (Municipio),99069.0
455,PR,Ponce (Municipio),99113.0
455,PR,Fajardo (Municipio),99053.0
455,PR,Luquillo (Municipio),99089.0
455,PR,Guayama (Municipio),99057.0
455,PR,Corozal (Municipio),99047.0
